place_id,place_name,description,weekend_holiday_price,weekday_price,category,city,rating,alamat,lat,lng,thumbnail_url,maps_url,more_information
1,Agrowisata Satria,Agrowisata Satria menawarkan 'rasa' Bali pada setiap sesapan teh dan kopi di tengah perkebunan yang asri.Satria Agrowisata merupakan Kebun kopi seluas lima hektare yang membudidayakan kopi berjenis arabika dan robusta. Kopi-kopi yang dibudidayakan di sini bisa langsung diminum oleh pengunjung.Satria Agrowisata selain menyediakan kopi robusta dan arabika juga menyediakan kopi luwak dan aneka jenis kopi lainnya. Luwak memang dipelihara di tempat ini. Wisatawan dapat melihat luwak di dalam kandang.,50000,50000,Agrowisata,Gianyar,3," Manukaya, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80552",-8.54862,115.2603,https://storage.googleapis.com/gambara/Balimate/1.%20Agrowisata%20Satria%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Satria+Agrowisata+Ubud,
2,Agung Bali,"Dapatkan berbagai produk oleh-oleh khas Bali berupa baju vip, camilan, handycraft dan lain-lain.Agung Bali memberikan nuansa baru dalam belanja oleh-oleh, kalau dulu sebelum ada toko modern sebagai pusat oleh-oleh Bali, maka tempat yang populer dikunjungi wisatawan adalah pasar seni Sukawati, sehingga terkadang tempat parkirpun agak susah, sekarang semua tempat tersebut menjadi lebih leluasa, karena pembeli mulai terbagi.",0,0,Belanja,Badung,4,"Jln. Dewi Sri No.18XX, Kuta, Badung, Bali",-8.70023,115.1765,https://storage.googleapis.com/gambara/Balimate/2.%20Agung%20Bali%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Agung+Bali+Kuta,https://oleholehagungbali.com/
3,Wisata Air Panas Toya Bungkah,"Pemandian air panas di dekat gunung Batur (Pemandian Air Panas Batur) di Bali merupakan keseluruhan kompleks waduk. Air di dalamnya memanas hingga 50 derajat, mengandung banyak mineral dan belerang, dan memiliki khasiat penyembuhan.Berada di Batur Natura Hot Spring anda bisa menyegarkan tubuh juga menrefresh pikiran anda, melepaskan segala penat, menenggelamkan kejenuhan, sehingga menambah kesegaran tubuh untuk aktifitas berikutnya.Dari sekian banyak objek wisata pemandian air panas, maka Batur Natural Hot Spring menjadi tempat spesial untuk mengisi aktivitas liburan anda bersama keluarga, anak-anak ataupun pasangan terkasih anda.Pemandian air panas alam Batur Natural hot spring Toya Bungkah ini bersuhu sekitar 38-39 °C, keluar dari perut bumi di yang diperkirakan berasal dari energi panas Gunung Batur yang merupakan gunung berapi yang masih aktif.",100000,100000,Alam,Bangli,4,"Batur Tengah, Kec. Kintamani, Kabupaten Bangli, Bali",-8.25001,115.3978,https://storage.googleapis.com/gambara/Balimate/3.%20Wisata%20Air%20Panas%20Toya%20Bungkah%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Wisata+Air+Panas+Toya+Bungkah+Mount+Batur,
4,Air Terjun Aling-Aling,"Keberadaan air terjun ini semakin mempercantik wisata alam yang terdapat di pulau dewata Bali. Popularitas air terjun satu ini memang masih kalah bila dibandingkan air terjun git-git maupun air terjun sekumpul. Walau demikian, keindahan alam yang ada di air terjun aling aling ini tak kalah juga lo.Dengan ketinggian air terjun kurang lebih 35 kilometer, sehingga tak heran bila guyuran air dari air terjun ini sangat deras dan menghujam menuju ke kolam air yang ada di bawahnya. Dikeliling oleh sejumlah tebing tinggi disekeliling air terjun, kecantikan aling-aling tidak kalah indah dalam menampilkan pesonanya.",20000,20000,Alam,Buleleng,4.5,"Jl. Raya Desa Sambangan, Banjar, Sambangan, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",-8.17674,115.1061,https://storage.googleapis.com/gambara/Balimate/4.%20Air%20Terjun%20Aling-Aling%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Aling-Aling+Waterfall+Jumping,
5,Air Terjun Tegenungan,"Bosan dengan wisata alam pantai dan ingin menikmati suasana alam yang berbeda, Air Terjun Tegenungan jawabannya. Tempat rekreasi alam air terjun di Gianyar ini, mudah dijangkau, pesona alam yang ditawakan indah dan menarik.Berada di kawasan air terjun sangat sejuk karena dilingkupi dengan pepohonan yang rindang. Mulai dari semak-semak, pohon bercabang, dan tak lupa pohon kelapa turut meramaikan suasana. Kombinasi warna hijau dengan jernihnya air terjun menjadi pemandangan yang sempurna.Untuk menuju air terjun, pengunjung harus menuruni ratusan anak tangga. Tidak perlu khawatir karena kondisi tangga sudah sangat baik dan sudah memiliki pengaman. Sebelum mencapai air terjun, ada sebuah tempat berbentuk seperti balkon yang menjorok ke air terjun. Pengunjung dapat berfoto di sini, dengan latar belakang air terjun.",20000,20000,Alam,Gianyar,4,"Jl. Ir. Sutami, Kemenuh, Kec. Sukawati, Kabupaten Gianyar, Bali 80581",-8.57536,115.289,https://storage.googleapis.com/gambara/Balimate/5.%20Air%20Terjun%20Tegenungan%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Air+Terjun+Tegenungan,
6,Air Terjun Tukad Cepung,"Salah satu air terjun yang berbeda dari air terjun lain di Bali adalah Tukad Cepung. Dikatakan berbeda karena air terjunnya tidak terbuka, melainkan berada di dalam goa. Di sekitar air terjun pun seolah belum pernah terjamah oleh manusia. Karena batuan dan tanaman yang ada begitu lebat dan orisinil.Pesona alam indah yang ditawarkan air terjun Tukad Cepung, lambat laun mulai populer, seiring waktu banyak wisatawan yang liburan ke Bali mengemas acara tour ke tempat pariwisata ini.Perjalanan menyusuri jalan setapak menuju air terjun Tukad Cepung Bangli sangat menyenangkan, nuansa alam sepanjang perjalanan cukup asri dalam balutan alam berhawa sejuk, sejumlah titik anda bisa menyaksikan aliran air yang sangat jernih dan menggoda.",15000,15000,Alam,Bangli,4.5,"Jl. Tembuku, Tembuku, Kec. Tembuku, Kabupaten Bangli, Bali 80671",-8.44102,115.3868,https://storage.googleapis.com/gambara/Balimate/6.%20Air%20Terjun%20Tukad%20Cepung%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Air+Terjun+Tukad+Cepung,
7,Aloha Ubud Swing,"Ajaklah orang-orang tercinta untuk mencoba ayunan tandem swing yang seru sekaligus menyenangkan, atau jika Anda ingin merasakan sensasi terbang tinggi sendiri, cobalah single swing yang mengayun tinggi hingga 60 meter di atas tanah.Tidak hanya menikmati keseruan bermain ayunan saja,  pengunjung berkesempatan untuk menikmati berbagai spot menarik lainnya. Tentu akan sangat menarik mengeksplorasi tempat wisata yang memiliki latar belakang pemandangan alam Ubud yang indah. ",300000,300000,Agrowisata,Gianyar,5,"Jl. Raya Tegallalang, Tegallalang, Kec. Tegallalang, Kabupaten Gianyar, Bali 80561",-8.46391,115.2765,https://storage.googleapis.com/gambara/Balimate/7.%20Aloha%20Ubud%20Swing%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Aloha+Ubud+Swing,
8,Bali Bird Park,"Atraksi wisata sekaligus tempat penangkaran berbagai jenis spesies burung di Indonesia maupun mancanegara. Selain menampilkan kehidupan alami berbagai jenis burung, bermacam-macam fasilitas dan program spesial diselenggarakan dengan fungsi mendidik dan penangkaran.Pengunjung bisa menikmati beberapa kawasan hingga serasa melintasi wilayah Indonesia, Amerika Latin, Afrika hingga Australia. Setiap zonasi akan memamerkan burung maupun tanaman-tanaman khasnya.",140000,140000,Cagar Alam,Gianyar,4.5,"Jl. Serma Cok Ngurah Gambir Singapadu, Batubulan, Gianyar 80582 Indonesia",-8.59985,115.2523,https://storage.googleapis.com/gambara/Balimate/8.%20Bali%20Bird%20Park%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Bali+Bird+Park,
9,Handara Iconic Gate,"Gapura indah yang berada di sebelah Pura Ulun Danu Beratan. Gerbang ini salah satu ikon foto paling mengesankan bagi para wisatawan. Dengan kombinasi gerbang kuno dengan perbukitan dan lapangan golf hijau menjadikan gerbang ini menjadi tempat wisata yang wajib dikunjungi.Sekarang ini Bali Handara Gate ini ckup populer, setiap harinya selalu saja ada pengunjung yang datang dengan tujuan foto selfie, latar belakang alam yang hijau, menampilkan taman cantik dan rumput yang hijau yang tertata rapi, memang terlihat instagramable, selain itu kawasan ini terasa sejuk karena berada pada ketinggian 1.142 mdpl, jadi tidak perlu khawatir akan teriknya matahari. Jika anda adalah orang yang suka dengan wisata photo selfie atau hunting tempat-tempat instagramable di Bali, maka Gapura di Bali Handara ini akan menjadi tujuan yang ideal.",20000,20000,Budaya,Buleleng,3.5,"Jl. Raya Singaraja-Denpasar, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali 81161",-8.2531,115.1583,https://storage.googleapis.com/gambara/Balimate/9.%20Handara%20Iconic%20Gate%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Handara+Iconic+Gate,
10,Bali Swing,"Bali Swing Tegalalang yang menggantung di antara dua pohon palem ini terletak di desa Tegalalang, utara Ubud, Gianyar, Bali. Ayunan ini menghadap ke pemandangan indah yang tak lain adalah petak-petak teras sawah dan selalu ramai dikunjungi wisatawan. Saat ini Bali Swing menjadi destinasi wisata yang menjadi sorotan karena keunggulan dan keunikannya. Jika Anda sedang merencanakan liburan bersama keluarga mengunjungi tempat ini akan sangat direkomendasikan.Bali Swing mengusung sebuah konsep alam sebagai latar belakang pemandangannya. Saat kamu masuk ke dalam, kamu akan merasakan nuansa yang asri dan sejuk. Hal tersebut bisa dirasakan lantaran sisi kanan dan kirinya dipenuhi dengan pepohonan rindang yang belum terjamah.",500000,500000,Rekreasi,Badung,4.5,"Jl. Dewi Saraswati No.7, Bongkasa Pertiwi, Kec. Abiansemal, Kabupaten Badung, Bali 80352",-8.48888,115.2399,https://storage.googleapis.com/gambara/Balimate/10.%20Bali%20Swing%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Bali+Swing+Saraswati,
11,Batik Koleksi Sari Amerta,"Merupakan toko batik yang berlokasi di Kabupaten Gianyar. Toko batik ini menawarkan berbagai macam jenis kain dan motif batik khas Indonesia dan berbagai daerah di Provinsi Bali. Batik untuk pria dan wanita tersedia disini dengan berbagai jenis seperti batik formal, batik lengan panjang dan pendek, casual, baik tradisional dan batik modern, batik tulis, sogan, batik couple dan lainnya",0,0,Budaya,Gianyar,3.5,"Jl. Raya Batubulan No.9, Batubulan, Kec. Sukawati, Kabupaten Gianyar, Bali 80237",-8.6309,115.2598,https://storage.googleapis.com/gambara/Balimate/11.%20Batik%20Koleksi%20Sari%20Amerta%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Sari+Amerta+Batubulan,https://www.gustibali.com/sari-amerta-batik/
12,Big Garden Corner,"Objek wisata Big Garden Corner Sanur adalah sebuah galeri seni batu dan taman patung, namun nuansanya sangat berbeda dengan galeri patung yang lain karena banyak ragam patung yang ada.Taman ini menyajikan ratusan koleksi patung batu besar dan kecil.Patung yang dipajang adalah jenis patung klasik tidak ada patung modern, termasuk juga patung Budha, terlihat seperti galeri seni dalam sebuah taman terbuka, semua ditata dengan sangat baik memperhatikan segala detailnya. Selain untuk refreshing, wisata foto selfie di tengah kota menjadi tempat ideal.Semua patung di kawasan ini tidak hanya sebagai barang pajangan saja, tetapi jika pengunjung berminat bisa membelinya. Jika anda mengenal rumah pohon di Karangasem desa Batudawa ataupun Temega, di kawasan Big Garden Corner juga terdapat rumah pohon.",35000,30000,Agrowisata,Denpasar,4,"Jl. By Pas Ngurah Rai, Sanur, Denpasar 80237 Indonesia",-8.65675,115.2533,https://storage.googleapis.com/gambara/Balimate/12.%20Big%20Garden%20Corner%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Big+Garden+Corner,
13,Bukit Wanagiri,"Wanagiri Hidden Hills memiliki pesona keindahan yang luar biasa yang membuat siapapun yang melihatnya akan terkagum dan langsung jatuh cinta. Lukisan pemandangan alam yang cantik dengan background dataran tinggi pegunungan, pepohonan hijau nan asri serta di lengkapi oleh view danau yang terlihat jelas dari Puncak Wanagiri Hills. Nuansa puncak bukit yang sejuk dengan panorama alam bawah danau serta perbukitan di sekitarnya, menjadi lokasi menarik untuk diabadikan, apalagi warga setempat sangat kreatif mendesain kawasan rekreasi ini menjadi sebuah tempat foto selfie yang sekarang trend dan lagi hits.Berkunjung ke objek wisata di Buleleng Bali ini menjadi pengalaman baru dalam aktivitas liburan anda bersama pasangan tercinta ataupun bersama rekan atau keluarga. ",50000,50000,Alam,Buleleng,4.5,"Jalan Munduk - Wanagiri, Wanagiri, Sukasada, Pancasari, Kec. Sukasada, Kabupaten Buleleng, Bali",-8.23714,115.1417,https://storage.googleapis.com/gambara/Balimate/13.%20Bukit%20Wanagiri%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Puncak+Wanagiri+Pancasari,
14,Campuhan Ridge Walk,"Campuhan Ridge Walk adalah sebuah trek jogging di sekitar perbukitan Campuhan, Bali. Pemandangan pegunungan dan perbukitan yang sangat asri dapat Anda lihat di kanan dan kiri jalur setapak. Lembah, rumput hijau, dan sungai yang berada di pinggiran jalan setapak ini membuat sebuah pemandangan indah nan istimewa.",0,0,Agrowisata,Gianyar,4.5,"Jl. Raya Campuhan, Ubud 80571 Indonesia",-8.50358,115.2548,https://storage.googleapis.com/gambara/Balimate/14.%20Campuhan%20Ridge%20Walk%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Campuhan+Ridge+Walk,https://www.dewata.id/bukit-campuhan-ubud/
15,Danau Batur,"Danau Batur merupakan danau kawah yang berlokasi Kabupaten Bangli. Lokasinya berada di dalam kaldera gunung berapi aktif, Gunung Batur namanya. Danau Batur menawarkan pemandangan danau dengan air yang berwarna hijau kebiru-biruan. Danau Batur terlihat begitu cantik berpadu serasi dengan keberadaan gunung Batur dan bukit hijau yang mengelilinginya, keindahan tersebut bisa anda saksikan lebih maksimal ketika anda berada di desa Penelokan.",15000,15000,Alam,Bangli,4,"Songan B, Kec. Kintamani, Kabupaten Bangli, Bali",-8.25882,115.4082,https://storage.googleapis.com/gambara/Balimate/15.%20Danau%20Batur%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Danau+Batur,
16,Danau Beratan Bedugul,"Danau Beratan Bedugul merupakan sebuah danau yang berada di Bali yang dikelilingi oleh bukit dan memiliki udara sejuk. Danau Beratan berada di kawasan Bedugul yang terletak di dataran tinggi dan alamnya masih asri.Nama danau ini aslinya bukan danau Bedugul, melainkan danau Beratan / Bratan. Namun karena masuk wilayah kawasan objek wisata Bedugul, maka banyak wisatawan lebih familiar menyebut nama danau Beratan / Bratan dengan nama danau Bedugul.",30000,30000,Alam,Tabanan,4.5,"Kec. Baturiti, Kabupaten Tabanan, Bali",-8.27518,115.1668,https://storage.googleapis.com/gambara/Balimate/16.%20Danau%20Beratan%20Bedugul%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Danau+Beratan+Baturiti,
17,Danau Tamblingan,"Danau Tamblingan merupakan danau dengan keindahan yang memikat. Danau Tamblingan ini hampir sama dengan Danau Beratan, namun Danau Tamblingan dikelilingi oleh hutan dan udara yang sejuk. Dengan nuansa spiritual dan alam yang menyatu membuat Danau Tamblingan pantas untuk dikunjungi. Kamu akan mendapatkan suasana yang tenang, sejuk yang datang dari pepohonan dan akan jauh dari kebisingan.Danau tamblingan yang dingin di malam hari, selalu basah dari embun dedaunan pohon – sangat mendukung suasana alami di Danau tamblingan. Hal ini juga yang menjadi alasan bagi para wisatawan asing untuk menikmati keindahan alam secara langsung di danau tamblingan.",10000,10000,Alam,Buleleng,4.5,"Banjar Dinas Tamblingan desa Munduk, Kecamatan Banjar Kabupaten Buleleng",-8.25706,115.097,https://storage.googleapis.com/gambara/Balimate/17.%20Danau%20Tamblingan%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Danau+Tamblingan,
18,Desa Budaya Kertalangu,"Desa Budaya Kertalangu melestarikan konsep budaya tempo dulu agar tidak punah, seperti tawaran makanan tradisional, jamu serta berbagai jenis ramuan tradisional. Desa budaya Kertalangu, akan memberikan pengalaman liburan baru di sebuah kota yang padat penduduk.Ketika memasuki Desa Budaya Kertalangu wisatawan akan disambut dengan sajian pemandangan alam yang tampak hijau dan alami berupa persawahan dan kebun-kebun hijau yang subur. Keistimewaan dari Desa Budaya Kertalangu ini adalah di dalam desa ini terdapat tugu perdamaian dunia. Tugu ini dibuat oleh negara-negara independen yang begitu mendukung adanya perdamaian di dunia. Di tugu ini juga terdapat 9 simbol agama yang ada di dunia.",10000,10000,Budaya,Denpasar,4.5,"Jl. Bypass Ngurah Rai No.88, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",-8.64224,115.2563,https://storage.googleapis.com/gambara/Balimate/18.%20Desa%20Budaya%20Kertalangu%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Desa+Budaya+Kertalangu,
19,Desa Celuk,"Celuk adalah sebuah desa dengan hasil produksi seni kerajinan perak yang tersohor, sehingga menjadi objek wisata identik sebagai penghasil perak terkenal di pulau Bali tidak itu juga diproduksi juga kerajinan emas, bahkan sampai ke mancanegara.Mereka yang bertandang tak hanya bisa membeli, tapi juga bisa terlibat langsung dalam pembuatan perhiasan cantik tersebut. Bagi mereka yang penasaran mengagumi keindahan kerajinan perhiasan, ada baiknya berkunjung ke desa ini.",0,0,Budaya,Gianyar,3.5,"Jalan Raya Celuk, Sukawati 80582 Indonesia",-8.60175,115.2734,https://storage.googleapis.com/gambara/Balimate/19.%20Desa%20Celuk%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Desa+Celuk,https://www.baliraftingtours.com/celuk-village.php#:~:text=No%20entrance%20fee%20required%20to%20visit%20Celuk%20Villages.
20,Desa Tohpati,"Desa Tohpati terkenal akan produksi batik khas Bali dimana motifnya mempertahankan ciri tradisional  dengan menampilkan rusa, naga, kura-kura atau burung. Kearifan penduduk lokal yang mempertahan karya seni batik dengan adanya butik, toko, art shop hingga workshop membatik.Pada kunjungan pertama Anda ke home industri batik, Anda pasti akan mengalami rangsangan yang luar biasa dari indra - karena banyak warna, pola dan bau sebenarnya batik. Hanya melalui kunjungan berulang dan sedikit studi akan jenis desain dan asal-usul mereka menjadi jelas.",0,0,Budaya,Denpasar,4,"Jl. WR Supratman No.343, Kesiman Kertalangu, Kec. Denpasar Tim., Kota Denpasar, Bali 80237",-8.63491,115.2549,https://storage.googleapis.com/gambara/Balimate/20.%20Desa%20Tohpati%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Bali+Bidadari+Batik,https://www.balifulldaytour.com/tohpati-village.php
21,Galeri Seni Semar Kuning,Semar Kuning Artist Cooperative merupakan sebuah tempat yang memang dirancang khusus untuk mengumpulkan seniman-seniman dari Bali yang hasil karya yang dapat dinikmati oleh para wisatawan.Ada banyak karya dari sekelompok seniman Bali. Tak heran jika seni Semar Kuning menjadi salah satu galeri yang paling banyak dikunjungi wisatawan di Ubud.Rata-rata pengunjung ditempat ini merupakan para seniman yang sedang menambah pengetahuan lebih jauh tentang lukisan khas yang diciptakan oleh para seniman Bali. Di tempat tersebut beragam lukisan tersaji dan sangat memanjakan mata para pengunjung. Harga sebuah lukisan ditempat tersebut memang sedikit lebih mahal bila dibandingkan dengan penjual lukisan yang ada di Bali akan tetapi bila Anda melihat lukisan yang tersaji Anda pasti akan membelinya karena lukisannya sangat eksklusif.,0,0,Belanja,Gianyar,4.5,"Jl. A.A. Gede Rai No.8, Lodtunduh, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",-8.54318,115.2619,https://storage.googleapis.com/gambara/Balimate/21.%20Galeri%20Seni%20Semar%20Kuning%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Semar+Kuning+Gallery,https://funnybackpacker.com/semar-kuning-art-gallery-bali/
22,Garuda Wisnu Kencana,"Patung Garuda Wisnu Kencana menjadi ikon pariwisata Bali karena patung GWK memiliki tinggi 121 meter, dengan lebar patung 64 meter. Jika di bandingkan dengan tinggi patung Liberty di Amerika, yang hanya 93 meter, maka patung GWK Bali lebih tinggi 28 meter. Desain dari patung Garuda Wisnu Kencana, menggambarkan dewa Wisnu menaiki kendaraan yang berupa burung Garuda serta terdapat lapisan emas yang merupakan unsur kencana.",80000,70000,Budaya,Badung,3.5,"Jl. Raya Uluwatu, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80364",-8.81042,115.1676,https://storage.googleapis.com/gambara/Balimate/22.%20Garuda%20Wisnu%20Kencana%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Garuda+Wisnu+Kencana+Cultural+Park,
23,Goa Gajah,"Objek wisata Goa Gajah, sejatinya adalah peninggalan sejarah, seperti namanya berbentuk sebuah goa di sebuah areal pura, sehingga dikenal dengan nama Pura Goa Gajah.Objek wisata Goa Gajah, sejatinya adalah peninggalan sejarah, seperti namanya berbentuk sebuah goa di sebuah areal pura, sehingga dikenal dengan nama Pura Goa Gajah.Jarak Goa Gajah dari Denpasar, Bali sekitar 25 kilometer, dengan kisaran waktu tempuh 1 jam perjalanan. Nggak perlu ngebut ya, nikmati saja panorama yang tersaji selama di perjalanan.",30000,30000,Religius,Gianyar,3.5,"Jalan Raya Goa Gajah No.99 Kemenuh Sukawati, Pejeng Kawan, Kec. Tampaksiring, Kabupaten Gianyar, Bali 80582",-8.52344,115.2872,https://storage.googleapis.com/gambara/Balimate/23.%20Goa%20Gajah%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Goa+Gajah,
24,Gunung Agung,"Gunung Agung merupakan gunung tertinggi yang berada di Bali. Predikat ini adalah hal utama yang membuat banyak para petualang dan pendaki gunung, semakin penasaran dengan gunung tertinggi di Bali ini.Berada di ketinggian diatas 3000 meter sudah pasti bisa melihat alam Bali dan daerah sekitar secara sempurna. Dilansir dari laman Panduan Wisata Bali, pengunjung tak hanya dibius oleh pemandangan alam di sekitar Gunung Agung yang eksotis, juga Gunung Rinjani yang terletak di Pulau Lombok bisa terlihat dari puncak gunung yang terkenal ini.Selain Rinjani, keindahan gugusan Kepulauan Nusa Penida bisa ikut dinikmati dari puncak gunung. Begitu juga dengan Pantai Sanur serta Gunung dan Danau Batur yang bisa dinikmati dan dipandangi sepuasnya dari daerah tertinggi Gunung Agung.",25000,25000,Alam,Karangasem,4.5,"kecamatan Rendang, Kabupaten Karangasem, Bali, Indonesia",-8.34331,115.5071,https://storage.googleapis.com/gambara/Balimate/24.%20Gunung%20Agung%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Gunung+Agung,
25,Gunung Batur,"Gunung Batur merupakan gunung yang memiliki kaldera yang sangat luas dan bisa dikatakan kaldera gunung purba. Selain itu gunung yang masih aktif ini pernah meletus ribuan tahun lalu hingga melahirkan Anak Gunung Batur serta Danau Batur.Udara sejuk daerah pegunungan, serta adanya kolam air panas alami yang lokasinya berdekatan, menambah minat wisatawan untuk berlibur ke objek wisata gunung berapi Kintamani Bali.Pendakian Gunung berapi Kintamani rata-rata memakan waktu sekitar tiga jam. Saran kami jika anda ingin mendaki mount Batur, sebaiknya anda di temani pemandu yang mengenal seluk beluk rute pendakian.",15000,15000,Alam,Bangli,4.5,"Kecamatan Kintamani, Kabupaten Bangli, Bali, Indonesia",-8.24013,115.3775,https://storage.googleapis.com/gambara/Balimate/25.%20Gunung%20Batur%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Gunung+Batur,
26,Istana Air Taman Ujung,"Tahun 1963, Taman Ujung di Kabupaten Karangasem, Bali pernah hancur lantaran letusan Gunung Agung. Sempat terbengkalai, sampai akhirnya tahun 2003 wisatawan dapat menikmati kembali keindahan Taman Ujung. Taman Ujung merupakan taman peristirahatan yang dibangun pada 1909 di bawah pemerintahan Raja Karangasem.",10000,10000,Religius,Karangasem,4.5,"Taman Ujung, Br. Dinas, Tumbu, Kec. Karangasem, Kabupaten Karangasem, Bali 80811",-8.46308,115.6307,https://storage.googleapis.com/gambara/Balimate/26.%20Istana%20Air%20Taman%20Ujung%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Istana+Air+Taman+Ujung,
27,Istana Puri Saren,Puri Ubud atau biasa disebut Puri Saren Agung adalah tempat tinggal dari Raja Ubud (Tjokorde Gede Agung Sukawati). Wisata ini menawarkan keindahan pura serta setiap malam diadakan pentas kesenian tari seperti tari Barong Ubud.,0,0,Religius,Gianyar,3.5,"Jl. Raya Ubud No.8, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",-8.50672,115.2627,https://storage.googleapis.com/gambara/Balimate/27.%20Istana%20Puri%20Saren%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Istana+Ubud,
28,Jatiluwih Green Land,"Nominasi untuk penunjukan sebagai situs Warisan Dunia UNESCO, Jatiluwih menawarkan pemandangan indah sawah irigasi berkontur menggunakan sistem air komunal mengesankan dikembangkan oleh petani Bali.",40000,40000,Agrowisata,Tabanan,4.5,"Jl. Jatiluwih Kawan No.Desa, Jatiluwih, Kec. Penebel, Kabupaten Tabanan, Bali 82152",-8.34922,115.1118,https://storage.googleapis.com/gambara/Balimate/28.%20Jatiluwih%20Green%20Land%20(1).jpg,https://www.google.com/maps/search/?api=1&query=Jatiluwih+Green+Land,
